,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
lost,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.11,0.0,0.04,0.0,0.09,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
onboarding__chooseLoginType,0.0,0.0,0.44,0.0,0.01,0.0,0.1,0.0,0.01,0.0,0.09,0.0,0.01,0.0,0.11,0.0,0.01,0.0,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onboarding__loginFailure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onboarding_login_Type1,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.08,0.0,0.07,0.0,0.01,0.0,0.07,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onboarding_login_Type1_cancel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.0,0.0,0.01,0.04,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passed,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.04,0.0,0.05,0.0,0.08,0.0,0.04,0.0,0.06,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
screen_0,1.0,0.0,0.0,0.48,0.0,0.72,0.0,0.16,0.0,0.25,0.0,0.29,0.01,0.13,0.0,0.19,0.01,0.06,0.0,0.07,0.0,0.05,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
sleep_1,0.0,0.98,0.0,0.5,0.0,0.22,0.0,0.67,0.0,0.53,0.0,0.37,0.0,0.49,0.0,0.3,0.0,0.35,0.0,0.23,0.0,0.2,0.0,0.13,0.0,0.1,0.0,0.05,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
sleep_2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dt_mean,0.815510557964428,0.815510557603801,0.815510557963854,0.815510557942766,0.81551055796068,0.81551055787401,0.815510557963677,0.815510557856193,0.815510557964284,0.815510557768338,0.815510557950036,0.815510557909212,0.815510557963949,0.815510557736289,0.81551055792157,0.815510557939374,0.815510557962774,0.815510557709016,0.815510557957316,0.815510557938245,0.815510557961936,0.815510557881364,0.815510557957511,0.815510557874392,0.815510557960751,0.81551055789634,0.815510557958827,0.815510557912278,0.815510557961776,0.815510557887055,0.815510557957294,0.815510557796538,0.815510557961927,0.815510557815491,0.81551055796367,0.815510556798944,0.815510557962934,0.815510557958795,0.815510557961929,0.815510557958,0.815510557960394,0.815510557961886
